,,Pressure (bar),Temperature (°C),XCO2,mNaCl (mol/Kg),,,,
,,62.2,200,0.789,0,,,,
,,81.1,200,1.032,0,,,,
Nakayama1987,,36.3,25,0.0183,0,,,,
,,64.2,25,0.0247,0,,,,
,,87.1,25,0.0257,0,,,,
,,109.9,25,0.0267,0,,,,
,,64.1,25,0.0244,0,,,,
,,96.3,25,0.0268,0,,,,
Sako1991,,103.4,75.15,0.0191,0,,,,
,,153.1,75.15,0.0192,0,,,,
,,209.4,75.05,,0,,,,
,,101.8,148.25,0.0154,0,,,,
,,126.5,147.75,0.0168,0,,,,
,,148.1,148.25,0.0187,0,,,,
,,174.5,147.75,0.0197,0,,,,
,,197.2,148.25,0.0204,0,,,,
Yang2000,,49.9,7.17000000000002,0.0256,0,,,,
,,60.8,7.44,0.027,0,,,,
,,60.8,7.57000000000005,0.0268,0,,,,
,,60.8,7.59000000000003,0.0268,0,,,,
,,60.9,6.83000000000004,0.0262,0,,,,
,,61,5.56,0.0221,0,,,,
,,61,5.84000000000003,0.0231,0,,,,
,,61,4.86000000000001,0.0236,0,,,,
,,61,5.97000000000003,0.0232,0,,,,
,,61,6.17000000000002,0.0242,0,,,,
,,61,6.30000000000001,0.0239,0,,,,
,,61,6.34000000000003,0.0235,0,,,,
,,61,6.43000000000001,0.0249,0,,,,
,,61,6.79000000000002,0.026,0,,,,
,,61,7.28000000000003,0.0262,0,,,,
,,61,7.83000000000004,0.0269,0,,,,
,,81.6,7.11000000000001,0.0268,0,,,,
,,100.4,7.19,0.0263,0,,,,
,,103.5,5.22000000000003,0.0227,0,,,,
,,103.5,5.24000000000001,0.0224,0,,,,
,,103.7,5.24000000000001,0.0223,0,,,,
,,104,6.03000000000003,0.0226,0,,,,
,,104.1,5.5,0.0235,0,,,,
,,104.3,6.26000000000005,0.0248,0,,,,
,,104.4,5.98000000000002,0.0241,0,,,,
,,104.4,6.45000000000005,0.025,0,,,,
,,104.4,7.15000000000003,0.0258,0,,,,
,,104.4,7.15000000000003,0.0257,0,,,,
,,104.4,7.25,0.026,0,,,,
,,104.5,6.85000000000002,0.0256,0,,,,
,,104.7,4.69,0.0201,0,,,,
,,142,7.19,0.026,0,,,,
Briones1987,,68.2,50,0.00339,0,,,,
,,75.3,50,0.00345,0,,,,
,,87.2,50,0.00364,0,,,,
,,100.6,50,0.00429,0,,,,
,,101.3,50,0.00436,0,,,,
,,122.1,50,0.00543,0,,,,
,,147.5,50,0.00608,0,,,,
,,176.8,50,0.00643,0,,,,
Bando2003,,100,30,0.0227,0.169404517453799,,,,
,,150,30,0.0235,0.169404517453799,,,,
,,200,30,0.0246,0.169404517453799,,,,
,,100,30,0.0215,0.342231348391513,,,,
,,150,30,0.0223,0.342231348391513,,,,
,,200,30,0.0232,0.342231348391513,,,,
,,100,30,0.0209,0.513347022587269,,,,
,,150,30,0.022,0.513347022587269,,,,
,,200,30,0.0227,0.513347022587269,,,,
,,100,40,0.0203,0.169404517453799,,,,
,,150,40,0.0216,0.169404517453799,,,,
,,200,40,0.0227,0.169404517453799,,,,
,,100,40,0.0201,0.342231348391513,,,,
,,150,40,0.0212,0.342231348391513,,,,
,,200,40,0.0219,0.342231348391513,,,,
,,100,40,0.0192,0.513347022587269,,,,
,,150,40,0.0204,0.513347022587269,,,,
,,200,40,0.0214,0.513347022587269,,,,
,,100,50,0.0188,0.169404517453799,,,,
,,150,50,0.0201,0.169404517453799,,,,
,,200,50,0.0218,0.169404517453799,,,,
,,100,50,0.0182,0.342231348391513,,,,
,,150,50,0.0196,0.342231348391513,,,,
,,200,50,0.0212,0.342231348391513,,,,
,,100,50,0.0177,0.513347022587269,,,,
,,150,50,0.0191,0.513347022587269,,,,
,,200,50,0.0203,0.513347022587269,,,,
,,100,60,0.0178,0.169404517453799,,,,
,,150,60,0.0197,0.169404517453799,,,,
,,200,60,0.0211,0.169404517453799,,,,
,,100,60,0.0166,0.342231348391513,,,,
,,150,60,0.0191,0.342231348391513,,,,
,,200,60,0.0203,0.342231348391513,,,,
,,100,60,0.0165,0.513347022587269,,,,
,,150,60,0.0183,0.513347022587269,,,,
